Sequencial; Receitas
20000000164; 4103.62
20000000165; 320229
20000000166; 204919.52
20000000167; 1451276.56
20000000168; 2400
20000000170; 112106.91
20000000171; 2400
20000000172; 97812.04
20000000173; 108287.74
20000000174; 1850
20000000175; 3883.04
20000000177; 309845.63
20000000178; 1850
20000000179; 2000
20000000180; 17794.77
20000000181; 27975.16
20000000182; 4137.74
20000000183; 763500
20000000184; 6520.3
20000000185; 8711.74
20000000186; 6500
20000000187; 20483.06
20000000188; 9093.04
20000000189; 9143.88
20000000190; 110280
20000000191; 13978.04
20000000346; 174222.86
20000000347; 480030
20000000348; 438510
20000000349; 1281.81
20000000350; 2171.81
20000000351; 17027.26
20000000352; Sem lancamento
20000000353; 6327.26
20000000354; 7027.26
20000000355; 10076.81
20000000356; 11656.81
20000000357; 5076.81
20000000358; 5076.81
20000000359; 1281.81
20000000360; 1281.81
20000000361; 6327.26
20000000362; 1281.81
20000000363; Sem prestacao
20000000364; 30442.38
20000000365; 554738.03
20000000366; 2000
20000000367; 7827.08
20000000368; 59339.08
20000000369; 432515.76
20000000370; 5112.58
20000000371; 3875.08
20000000372; 20865.08
20000000373; 109172.08
20000000375; 305852.66
20000000377; 4218.08
20000000378; 3875.08
20000000379; 4422.08
20000000381; 4422.08
20000000382; 1346348.51
20000000383; 1500
20000000249; 307465
20000000250; 3000
20000000251; 3700
20000000252; 415562
20000000253; 3300
20000000254; 3000
20000000255; 160600
20000000256; 3450
20000000257; 3700
20000000258; 3700
20000000259; 3000
20000000260; 3000
20000000261; 3700
20000000262; 96480
20000000263; Sem prestacao
20000000264; Sem lancamento
20000000292; 17009
20000000293; 11385
20000000294; 115580
20000000295; 20100
20000000296; 209500
20000000297; 134005
20000000298; 421127.09
20000000299; 23940
20000000300; 18510
20000000301; 7248.6
20000000302; 9335
20000000303; 12720
20000000304; 13908.33
20000000305; 1700
20000000306; 1500
20000000307; 74660
20000000309; 600
20000000310; 1300
20000000311; 11415.7
20000000312; 600
20000000313; 3700
20000000265; 5581.5
20000000266; 746398.16
20000000267; 45191.99
20000000268; 15691.72
20000000269; 1832060.11
20000000270; 1500
20000000271; 5700
20000000272; 1500
20000000273; 217904.9
20000000274; 525800
20000000275; 4000
20000000276; 6725
20000000277; 141520
20000000278; 118005.8
20000000279; 1326148.6
20000000280; 37829.65
20000000281; 138193.33
20000000282; 147639.39
20000000283; 91620
20000000284; 147901.57
20000000285; Sem prestacao
20000000286; 15700
20000000287; 1262000
20000000288; Sem lancamento
20000000289; 132100.71
20000000290; Sem lancamento
20000000291; Sem prestacao
20000000314; 1500
